"codigo_pip";"nome_pip";"nucleo";"familia";"area_atuacao";"ano";"mes";"ano_mes";"vista";"novos";"denuncias";"arquivamentos";"baixas";"inst_pic";"acordo_npp_oferecido";"acordo_npp_firmado";"med_caut"
300977;"PIP - Volta Redonda";"Interior";"Interior";"Volta Redonda";2020;3;"2020-03";315;59;2;40;144;0;0;0;1
300977;"PIP - Volta Redonda";"Interior";"Interior";"Volta Redonda";2020;4;"2020-04";268;54;5;19;134;0;0;0;2
300977;"PIP - Volta Redonda";"Interior";"Interior";"Volta Redonda";2020;5;"2020-05";1651;283;7;15;1382;1;1;0;6
300977;"PIP - Volta Redonda";"Interior";"Interior";"Volta Redonda";2020;6;"2020-06";340;212;21;30;148;0;40;0;10
300977;"PIP - Volta Redonda";"Interior";"Interior";"Volta Redonda";2020;7;"2020-07";619;167;5;14;404;0;2;0;18
300977;"PIP - Volta Redonda";"Interior";"Interior";"Volta Redonda";2020;8;"2020-08";282;136;42;67;64;0;0;0;14
300977;"PIP - Volta Redonda";"Interior";"Interior";"Volta Redonda";2020;9;"2020-09";488;128;23;49;332;0;3;0;5
300977;"PIP - Volta Redonda";"Interior";"Interior";"Volta Redonda";2020;10;"2020-10";571;148;50;89;354;0;9;0;6
300977;"PIP - Volta Redonda";"Interior";"Interior";"Volta Redonda";2020;11;"2020-11";3104;246;41;63;2793;0;0;0;2
300977;"PIP - Volta Redonda";"Interior";"Interior";"Volta Redonda";2020;12;"2020-12";640;62;46;35;479;0;2;0;2
300977;"PIP - Volta Redonda";"Interior";"Interior";"Volta Redonda";2021;1;"2021-01";265;65;18;19;80;0;1;0;0
300987;"PIP - Nova Friburgo";"Interior";"Interior";"Nova Friburgo";2020;3;"2020-03";276;50;5;15;176;2;0;0;0
300987;"PIP - Nova Friburgo";"Interior";"Interior";"Nova Friburgo";2020;4;"2020-04";55;13;1;4;17;0;0;0;3
300987;"PIP - Nova Friburgo";"Interior";"Interior";"Nova Friburgo";2020;5;"2020-05";83;38;3;1;46;1;0;0;2
300987;"PIP - Nova Friburgo";"Interior";"Interior";"Nova Friburgo";2020;6;"2020-06";33;19;2;1;20;1;0;0;0
300987;"PIP - Nova Friburgo";"Interior";"Interior";"Nova Friburgo";2020;7;"2020-07";141;25;5;7;91;0;0;0;2
300987;"PIP - Nova Friburgo";"Interior";"Interior";"Nova Friburgo";2020;8;"2020-08";441;52;13;27;286;0;0;0;0
